importer name,importer country (2 letter code),total # of shipments,total Kg,Total amount,# shipments from South Africa,Total tons from South Africa,Description
LIANYUNGANG ZHONGDA INTERNATIONAL,CN,319,6537350.0,0,0.0,0.0,"UNDERTREASURE MINING CONSULTANCY (MZ), Shipments: 319, Tonnage: 6537.35 tons"
LIAONING ZHONGMEI HIGH TEMPERATURE MATERIAL CO LTD,CN,3,254.91000000000003,0,0.0,0.0,"USSA ENTERPRISES (PK), Shipments: 3, Tonnage: 0.25 tons"
LONG RESOURCES GROUP LTD,CN,3,2000.0,0,0.0,0.0,"QAZI MINES&MINERALS (PK), Shipments: 3, Tonnage: 2.00 tons"
LS ALLOYS (SHANGHAI) COMMERCIAL TRADING CO LTD,CN,44,1235820.0,0,44.0,1235.82,"UPYA VENTURES RSA PTY LTD (ZA), Shipments: 44, Tonnage: 1235.82 tons"
LUU DUONG TRADING COMPANY LTD,VN,2,0.0,0,0.0,0.0,"LUOYANG BOKELAI TRADING COMPANY. LTD (CN), Shipments: 1, Tonnage: 0.00 tons
LUOYANG BRIGHT TRADING COMPANY. LTD (CN), Shipments: 1, Tonnage: 0.00 tons"
LUZHOU C&D COMMODITY CO LTD,CN,150,4221250.0,0,15.0,445.2,"ITEL MOBILE LTD (MZ), Shipments: 100, Tonnage: 2823.00 tons
DECOLUX (PRIVATE) LTD (MZ), Shipments: 35, Tonnage: 953.05 tons
FUJAX UK LTD (ZA), Shipments: 15, Tonnage: 445.20 tons"
LUZHOU C&D COMMODITY CO. LTD,CN,16,435680.0,0,0.0,0.0,"DECOLUX (PRIVATE) LIMITED (MZ), Shipments: 16, Tonnage: 435.68 tons"
MARINE CONNECTIONS (SHANGHAI) LTD,CN,23,626290.0,0,23.0,626.29,"ALPHA SHIPPING AGENCY PTY LTD (ZA), Shipments: 23, Tonnage: 626.29 tons"
MARVELS REFRACTORIES (ANSHAN) CO LTD,CN,3,224.48,0,0.0,0.0,"UNITED ENTERPRISES (PK), Shipments: 2, Tonnage: 0.22 tons
BILFER MADENCILIK VE IHRACAT ANONIM SIRKETI (TR), Shipments: 1, Tonnage: 0.00 tons"
MARVELS REFRACTORIES ANSHAN CO LTD,CN,2,544.5,0,0.0,0.0,"USSA ENTERPRISES (PK), Shipments: 2, Tonnage: 0.54 tons"
MAX WISDOM INTERNATIONAL INDUSTRIAL,CN,88,2439940.0,0,0.0,0.0,"KINAY TAS VE LOJ AS (TR), Shipments: 88, Tonnage: 2439.94 tons"
MERIDIAN SHIPPING CC,CN,51,1477870.0,0,51.0,1477.87,"FUJAX UK LTD (ZA), Shipments: 36, Tonnage: 1068.54 tons
MERIDIAN SHIPPING (ZA), Shipments: 15, Tonnage: 409.33 tons"
MERLION RESOURCES HOLDINGS LTD,CN,3,1600.02,0,0.0,0.0,"ABK CAPITAL (PK), Shipments: 3, Tonnage: 1.60 tons"
METACROM RESOURCES LTD,CN,24,17025.6,0,0.0,0.0,"MDM ENTERPRISES (PK), Shipments: 20, Tonnage: 12.99 tons
KPK CHROMITE STONE (PK), Shipments: 4, Tonnage: 4.03 tons"
METAL CHALLENGE CO LTD,CN,60,89252975.0,0,0.0,0.0,"EKIN MADEN TICARET VE SANAYI ANONIM SIRKETI (TR), Shipments: 60, Tonnage: 89252.98 tons"
MICRO CHEMICAL INDUSTRY CO LTD,CN,483,14351890.0,0,483.0,14351.89,"ONE WORLD DIRECT (PTY) LTD (ZA), Shipments: 221, Tonnage: 6566.74 tons
AURIC MINING (PTY) LTD (ZA), Shipments: 217, Tonnage: 6448.65 tons
ONE WORLD DIRECT (PTY) LTD. (ZA), Shipments: 45, Tonnage: 1336.50 tons"
MINTAL RESOURCES LTD,CN,352,10455860.0,0,352.0,10455.86,"ZOPCO SA (ZA), Shipments: 352, Tonnage: 10455.86 tons"
MS H S IMPEX (PROP MOHAMMED HAFIZ) ,CN,69,2049000.0,0,69.0,2049.0,"MS H S IMPEX (PROP MOHAMMED HAFIZ)  (ZA), Shipments: 69, Tonnage: 2049.00 tons"
NANTONG DONGSHI SUPPLY CHAIN CO LTD,CN,1,29230.0,0,0.0,0.0,
NATIPROL LIANYUNGANG CORPORATION,CN,3,92570.0,0,0.0,0.0,"ZHONGPU IMPORT&EXPORT TRADE CO LTD (MZ), Shipments: 3, Tonnage: 92.57 tons"
